Bill Of Materials,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Product Name,,Product Link,,Unit Cost,,Product Amount,,Total Cost (+ CA Tax),,Use of Product
,,,,,,,,,,
"LONTAN 2 Pcs Center Mount Drawer Slides Bottom Mount for Cabinet and Dresser 16 Inch Heavy Duty Drawer Rails 10.74"" Extension Glide Track",,https://www.amazon.com/LONTAN-Centered-Cabinet-Dresser-Extension/dp/B0CPLSG6PH?crid=3CX77ETMFPQE6&dib=eyJ2IjoiMSJ9.qLwzYqCTa8lFtZ_MiwjfnlkaH2O9rTZeoFH8nusbqgEpZxJWmKCFvR8Gds2krBChz0h_ifepAI4afMXxedu3Hd2a9nd_QF4829OMF9SKw7ohsga4Jbee2DQ-df71Gf3EB1dTZQTDzKnIV5-TMm55_eHajvWQ70UYmCf7u4Qx4vh10E_kkoipqkE4gUywZcGNY8gOlupYHCWu2eAobZIHytG9blEBNVz49xzD0wUF0poQuF3px7s1y5LCZDYloJngvqBzQiKtZ6UP3IIdKUqf3EQB2xb3e1G5yv7vNPS-oOs._Tz1VQ2paQhhNH72TtZLOakGuykhvH2i8fGQcFJB7Xk&dib_tag=se&keywords=Richelieu%2B15.75-in%2BCenter%2BMount%2B35-lb%2BLoad%2BCapacity%2BSilver%2BDrawer%2BSlide&nsdOptOutParam=true&qid=1765866910&sprefix=richelieu%2B15.75-in%2Bcenter%2Bmount%2B35-lb%2Bload%2Bcapacity%2Bsilver%2Bdrawer%2Bslide%2Caps%2C346&sr=8-6&th=1,,$16.79,,1,,$18.01,,The slides for the blade itself.
"Universal 31750 Lightweight Hand Letter Opener, 9"", Silver",,https://www.amazon.com/Universal-Lightweight-Letter-Opener-Silver/dp/B004E2QAFE/ref=sr_1_1?c=ts&dib=eyJ2IjoiMSJ9.SYPo3DQqRsU4vMaqeUNwFUbAmY7p9ZCbQjapLh5i0tvYcWQeD7CWootPPMhYQfp50MfThBWYgYi7tj_tmoLGjw.H3cs6JJ-JKNqBnmNHwnaqZ94YRJbm_Te6pzeZuT-DUw&dib_tag=se&keywords=Letter+Openers&qid=1765996907&refinements=p_89%3AUniversal&s=office-products&sr=1-1&ts_id=1069366,,$5.25,,1,,$5.63,,The blades itself
"Hillman 2 -Pack 3-1/4-in Zinc Gate extension spring
",,https://www.lowes.com/pd/Hillman-2-Pack-3-1-4-in-Zinc-Gate-Extension-Spring/3115821?store=773&cm_mmc=shp-_-c-_-prd-_-tah-_-ggl-_-PMAX_TAH_000_Priority_Item-_-3115821-_-local-_-0-_-0&gclsrc=aw.ds&gad_source=1&gad_campaignid=21797082881&gbraid=0AAAAAD2B2W-L1ZlFY67E_pvQjaLLfb4Of&gclid=EAIaIQobChMIyraihNTCkQMVDSZECB1GpQz3EAQYASABEgIVAvD_BwE ,,$4.98,,1,,$5.34,,The spring to help with retraction
"PEC Tools 6"" (150mm) Mechanic's Ruler, 1/16"", 1/32"", 1/64"", 1/10"", 1/20"", 1/50"", 1/100"", 1.0mm, 0.5mm, 1/50"" Thick X 1/2"" Wide, Round End Flexible Design, Satin Chrome, Made in USA",,https://www.amazon.com/PEC-Tools-Mechanics-Flexible-Design/dp/B0FJL2CLWM/ref=sr_1_3_sspa?crid=2FL3ADCBAWQYJ&dib=eyJ2IjoiMSJ9.kg_KqLvmbPLaAuY3e3NLF49ZqZHLFqNLtdVMtW1B55aGxzQBT1cmOlnqbOLUUVHkJvWjRjBRbXN6ixOtC2L1WEvaGby39w21VRmwqWSGTA8FK2xTTzhCTgQJUK7QviDBhWgbPuJSKqXN0Fj2H8q7BNhgrKkaG-u-ok3qzUftIiSqojeH7Cl9LW67vekYeiIfrq_eJSPcSpBszW2lKpId9fdg_smoZhopTj1AV1hEdaS5EYBenC0vdQwxc2DW20CLy0EipmKwL5KfCZLFptz5Iht8HOVKpaFjmXMxdD7UVx4.KFzk8MmFqweKFMrZ-hH22nTaxGeTPTIB2xspbd1eRqI&dib_tag=se&keywords=6%22%2B150mm%2BGeneral%2BSteel%2BRule&qid=1765997662&sprefix=6%2B150mm%2Bgeneral%2Bsteel%2Brule%2Caps%2C534&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,$9.99,,1,,$10.71,,Ruler to attach to string and ring.
"#6-32 x 3/8"" Pan Head Machine Screws Black, Phillips Drive, 304 Stainless Steel 18-8, Black Oxide Coated Finish, Corrosion Resistant Round Head Machine Screws, Full Thread, Coarse Thread, 100 PCS
",,https://www.amazon.com/Machine-Phillips-Stainless-Corrosion-Resistant/dp/B0CSFTHWV9?crid=1VTWIQOB6QMLT&dib=eyJ2IjoiMSJ9.VoaqgJAqcUgB0AI8MBwueoobldyNfcolve5wI3X7D5FgKvmxc20YPfboDK5fUj39IhPNcdZ-yK3jgh6U6OOfUlNAFDyZOe2BA9J4tMFr67pXjokxnfhREtTV3cXC-J_mD0IorhL6rJqVDErDqmA4lGCqO8sV9LyrwLYItTpc6dj1GurS43iOp3qd4v1Pp4s1bIDKaD8vyj9wlXheeYTF3w8-e6JBt1WMtC53tgCD5ic.R3of7G3vozySOj3vY_yFM87E6lDUPJ3wPPsebEyyNHs&dib_tag=se&keywords=14-Count%2B%236-32%2Bx%2B3%2F8-in%2BRound-Head%2BStandard%2B(SAE)%2BMachine%2BScrews%2Bwith%2BNuts%2B(Lowe%27s%2B%241.50)%2BAND%2Bsome%2Bpanhead%2Bscrews%2Bof%2Bthe%2Bsame%2Bsize&nsdOptOutParam=true&qid=1766624170&sprefix=14-count%2B6-32%2Bx%2B3%2F8-in%2Bround-head%2Bstandard%2Bsae%2Bmachine%2Bscrews%2Bwith%2Bnuts%2Blowe%27s%2B1.50%2Band%2Bsome%2Bpanhead%2Bscrews%2Bof%2Bthe%2Bsame%2Bsize%2Caps%2C348&sr=8-4&th=1,,$7.99,,1,,$8.57,,Screws for the assembly
Irwin Tools Irwin 80213#6x32 NC Tap/Drill Set,,https://www.amazon.com/Irwin-80213-6x32-Tap-Drill/dp/B0006V6MNW?crid=12WTMO4F39KKU&dib=eyJ2IjoiMSJ9.s97UI_87uIbHlk1kl9BJswshs32VNyvTWvbmBdMc2_-UFwkNBmyRt6HnhywAiHzsqfqKURqrUFseZAfy7IFgNzyY5Gl52B7X330ZA3qP4K2yjKwZGq95eYzdvEuhPKoShEYgYh_rhLdGTTG9O9o3nxpbNiGjfiTMJHphLW4xJ4NY7UAwM2Yzty8Kry7XU9EbrA81mAzTKoz-sIH9fFfKZokI9NKNC_UQAc77py_JsNA.p12JHjT7_BPXeJfWey36Pt1QAT6OR-uYIcd94xFBBBo&dib_tag=se&keywords=IRWIN%2BTap%2Band%2BDie%2BSet%2B6-32NC&qid=1766624312&sprefix=irwin%2Btap%2Band%2Bdie%2Bset%2B6-32nc%2Caps%2C309&sr=8-1&th=1,,$8.37,,1,,$8.98,,For the holes of the knife.
,,,,,,,,$0.00,,
,,,,,,,,$0.00,,
,,,,,,,,$0.00,,
,,,,,,,,$0.00,,
,,,,,,,,$0.00,,
,,,,,,,,$0.00,,
,,,,,,,,$0.00,,
,,,,,,,,Total Cost,,

,,,,,,,,$57.24,,
